company,year,award_category,industry_category,industry,country,state_province,certification_status,b_corp_profile
FINAE SAPI DE CV SOFOM ENR,2016,Customers,Financial Services,Credit Provider,Mexico,Ciudad de Mexico,Certified,https://bcorporation.net/directory/finae-sapi-de-cv-sofom-enr
Hopemakers,2016,Customers,Financial Services,Other,Korea (Republic of),Seoul,Certified,https://bcorporation.net/directory/hopemakers
Goldfarb Financial,2016,Customers,Financial Services,Investment Advisor,United States,New York,Certified,https://bcorporation.net/directory/goldfarb-financial
Archi's Acres,2016,Overall; Community; Environment,Agriculture,Growers,United States,California,Inactive,https://bcorporation.net/directory/archis-acres
Green City Growers,2016,Environment,Agriculture,Growers,United States,Massachusetts,Certified,https://bcorporation.net/directory/green-city-growers
Greenvines,2016,Environment,Agriculture,Growers,Taiwan,New Taipei City,Certified,https://bcorporation.net/directory/greenvines
Re:Vision Architecture,2016,Environment,Building,Architecture/Design/Planning,United States,Pennsylvania,Certified,https://bcorporation.net/directory/revision-architecture
Catalyst Partners,2016,Overall; Community; Environment,Building,Architecture/Design/Planning,United States,Michigan,Certified,https://bcorporation.net/directory/catalyst-partners
Best Energy,2016,Environment,Business Products & Services,Machinery & Equipment,Chile,Santiago,Certified,https://bcorporation.net/directory/best-energy
Numi Organic Tea,2016,Community,Consumer Products & Services,Food & Beverage,United States,California,Certified,https://bcorporation.net/directory/numi-organic-tea
"W.S. Badger Co, Inc.",2016,Overall; Environment,Consumer Products & Services,Home & Personal Care,United States,New Hampshire,Certified,https://bcorporation.net/directory/ws-badger-co-inc
Okena,2016,Environment,Energy & Environmental Services,Recycling Services & Waste Management,Brazil,Sao Paulo,Certified,https://bcorporation.net/directory/okena
TMI Consulting,2016,Overall,Business Products & Services,Management and Financial Consulting,United States,Virginia,Certified,https://bcorporation.net/directory/tmi-consulting
StoryStudio Chicago,2016,Overall; Community,Business Products & Services,Management and Financial Consulting,United States,Illinois,Certified,https://bcorporation.net/directory/storystudio-chicago
Green Factory,2016,Environment,Business Products & Services,Sustainability Consulting,Colombia,Cundinamarca,Certified,https://bcorporation.net/directory/green-factory
PV Squared,2016,Workers,Energy & Environmental Services,Renewable Energy Generation & Installation,United States,Massachusetts,Certified,https://bcorporation.net/directory/pv-squared
Renewal Funds,2016,Overall; Workers,Financial Services,Equity Investor - Developed Markets,Canada,British Columbia,Certified,https://bcorporation.net/directory/renewal-funds
Cooperative Home Care Associates (CHCA),2016,Overall; Community; Workers,Health & Human Services,Healthcare Providers,United States,New York,Certified,https://bcorporation.net/directory/cooperative-home-care-associates-chca
Brightworks Sustainability LLC,2016,Environment,Business Products & Services,Sustainability Consulting,United States,Oregon,Certified,https://bcorporation.net/directory/brightworks-sustainability-llc
Praxis Consulting Group,2016,Overall; Workers,Business Products & Services,Management and Financial Consulting,United States,Pennsylvania,Certified,https://bcorporation.net/directory/praxis-consulting-group
Cloud for Good,2016,Workers,Business Products & Services,Research & Design,United States,North Carolina,Certified,https://bcorporation.net/directory/cloud-good
Chroma Technology Corp,2016,Workers,Business Products & Services,Machinery & Equipment,United States,Vermont,Certified,https://bcorporation.net/directory/chroma-technology-corp
Dimensions in Occupational Health and Safety,2016,Workers,Business Products & Services,Other,United States,North Carolina,Certified,https://bcorporation.net/directory/dimensions-in-occupational-health-and-safety
"Decisely Insurance Services, LLC",2016,Workers,Business Products & Services,Employee Benefits,United States,Georgia,Certified,https://bcorporation.net/directory/decisely-insurance-services-llc
Noto Group,2016,Workers,Business Products & Services,HR Consulting & Recruiting,United States,Oregon,Certified,https://bcorporation.net/directory/notogroup-executive-search
Sustainable Business Consulting,2016,Workers,Business Products & Services,Sustainability Consulting,United States,Washington,Certified,https://bcorporation.net/directory/sustainable-business-consulting
Traction on Demand,2016,Workers,Business Products & Services,IT Software & Services/Web Design,Canada,British Columbia,Certified,https://bcorporation.net/directory/traction-on-demand
Mkt. Communications,2016,Workers,Business Products & Services,Marketing & Communications Services,Australia,Victoria,Certified,https://bcorporation.net/directory/mkt-communications
Nation Partners,2016,Workers,Business Products & Services,Sustainability Consulting,Australia,Victoria,Certified,https://bcorporation.net/directory/nation-partners
O'Connells OBM,2016,Workers,Business Products & Services,Accounting Services,Australia,Queensland,Certified,https://bcorporation.net/directory/oconnells-obm
Spark Strategy,2016,Workers,Business Products & Services,Nonprofit Consulting & Fundraising,Australia,Victoria,Certified,https://bcorporation.net/directory/spark-strategy
MediaStyle Inc,2016,Workers,Business Products & Services,IT Software & Services/Web Design,Canada,Ontario,Certified,https://bcorporation.net/directory/mediastyle
"Butler/Till Media Services, Inc.",2016,Workers,Business Products & Services,Marketing & Communications Services,United States,New York,Certified,https://bcorporation.net/directory/butlertill-media-services-inc
Generation Investment Management LLP,2016,Workers,Financial Services,Other,United Kingdom,London,Certified,https://bcorporation.net/directory/generation-investment-management-llp
Greenline Community Ventures LLC,2016,Workers,Financial Services,Equity Investor - Developed Markets,United States,Colorado,Certified,https://bcorporation.net/directory/greenline-community-ventures-llc
Reho Travel,2016,Workers,"Restaurant, Hospitality & Travel",Travel & Leisure,Australia,Victoria,Certified,https://bcorporation.net/directory/reho-travel
Bruggink & van der Velden Advocaten Belastingadviseurs BV,2016,Workers,Legal Services,Legal,Netherlands,Utrecht,Certified,https://bcorporation.net/directory/bruggink-van-der-velden-advocaten-belastingadviseurs-bv
TTC,2015,Overall,,,Netherlands,Noord Holland,Inactive,https://bcorporation.net/directory/ttc
Emory Knoll Farms,2015,Environment,Agriculture,Growers,United States,Maryland,Inactive,https://bcorporation.net/directory/emory-knoll-farms
Starvation Alley Farms,2015,Community,Agriculture,Agricultural Services,United States,Washington,Inactive,https://bcorporation.net/directory/starvation-alley-farms
Acci�n Verde SAS,2015,Environment,Agriculture,Growers,Colombia,Cundinamarca,Certified,https://bcorporation.net/directory/acci�n-verde-sas
Headwater Food Hub,2015,Community,Agriculture,Other,United States,New York,Certified,https://bcorporation.net/directory/headwater-foods
Living Forest Communities,2015,Community,Building,Real Estate Development,Canada,British Columbia,Inactive,https://bcorporation.net/directory/living-forest-communities
DO GOOD Real Estate,2015,Community,Building,Real Estate Development,United States,North Carolina,Inactive,https://bcorporation.net/directory/do-good-real-estate
"The Bark House at Highland Craftsmen, Inc.",2015,Community; Environment; Workers,Building,Building Materials,United States,North Carolina,Inactive,https://bcorporation.net/directory/the-bark-house-highland-craftsmen-inc
"FutureProof, LLC",2015,Overall,Building,Architecture/Design/Planning,United States,Louisiana,Inactive,https://bcorporation.net/directory/futureproof-llc
New Avenue,2015,Overall; Community,Building,Real Estate Development,United States,California,Inactive,https://bcorporation.net/directory/new-avenue
"Woodfold Mfg., Inc.",2015,Workers,Building,Building Materials,United States,Oregon,Inactive,https://bcorporation.net/directory/woodfold-mfg-inc
Hive Projects,2015,Environment,Building,Contractors & Builders,Australia,Victoria,Inactive,https://bcorporation.net/directory/hive-projects
AguaClara LLC,2015,Overall,Building,Architecture/Design/Planning,United States,New York,Inactive,https://bcorporation.net/directory/aguaclara-llc
Echale a Tu Casa,2015,Overall; Community,Building,Contractors & Builders,Mexico,Distrito Federal,Certified,https://bcorporation.net/directory/echale-a-tu-casa
Telesis Corporation,2015,Overall; Community; Environment,Building,Real Estate Development,United States,District of Columbia,Certified,https://bcorporation.net/directory/telesis-corporation
